[run number];team_size;game_size;knowledge_sharing;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?;[agreeableness] of turtles;[talkativeness] of turtles;[neuroticism] of turtles;[critical_thinking] of turtles;[knowledge] of turtles
5;4;8;0.3;16;0;0;0;[neuro_agent agree_agent agree_agent know_agent e f g h i j];false;[3.97 1 1 3.43];[1 1 1 1];[1 3.11 1 1];[0 0 0 0];[0.2 0.2 1 0.2]
8;4;8;0.3;18;-0.214;0.036000000000000004;-0.357;[neuro_agent talk_agent know_agent crit_agent e f g h i j];true;[1 1 1 1];[2.51 1 1 1];[1 1 4.79 1];[0 0.49 0 0];[0.2 0.2 0.2 0.59]
4;4;8;0.3;19;0.643;0.6785;0.35700000000000004;[talk_agent crit_agent agree_agent know_agent e f g h i j];true;[1 1 2.07 1];[1 2.85 1 1];[1 1 1 1];[0 0 0 0.87];[0.74 0.2 0.2 0.2]
3;4;8;0.3;19;0.286;0.5005;0.143;[agree_agent talk_agent agree_agent know_agent e f g h i j];true;[4.78 4.09 1 1];[1 1 1 4.43];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.71 0.2]
6;4;8;0.3;21;-0.071;0.07175;-0.357;[know_agent talk_agent talk_agent know_agent e f g h i j];true;[1 1 1 1];[5.6 5.71 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.68 0.65]
2;4;8;0.3;26;0.571;0.6962499999999999;0.357;[know_agent agree_agent crit_agent talk_agent e f g h i j];true;[1 2.17 1 1];[3 1 1 1];[1 1 1 1];[0 0 0 0.91];[0.2 0.2 0.72 0.2]
9;4;8;0.3;27;-0.071;0.07175;-0.21399999999999997;[agree_agent agree_agent know_agent neuro_agent e f g h i j];true;[1 3.56 1 2.64];[1 1 1 1];[1 1 3.21 1];[0 0 0 0];[0.61 0.2 0.2 0.2]
7;4;8;0.3;20;0.857;107.125;1;[neuro_agent crit_agent know_agent crit_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[1 1 1 2.34];[0.33 1.23 0 0];[0.2 0.2 0.53 0.2]
1;4;8;0.3;18;0.143;0.26825;0.072;[talk_agent know_agent neuro_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 3.07 1 1];[3.14 1 2.32 1];[0 0 0 0];[0.2 0.2 0.2 0.79]
11;4;8;0.3;22;0;0.25025;0.143;[neuro_agent neuro_agent crit_agent agree_agent e f g h i j];true;[1 1 1 2.87];[1 1 1 1];[3.39 1 2.56 1];[0 0.59 0 0];[0.2 0.2 0.2 0.2]
