[run number];team_size;game_size;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?
2;5;8;10;0.143;0.3288;-0.07100000000000001;[agree_agent crit_agent know_agent neuro_agent neuro_agent f g h i j];true
1;5;8;10;0.286;0.5002;0.42899999999999994;[agree_agent talk_agent crit_agent neuro_agent talk_agent f g h i j];true
3;5;8;19;0.429;0.5432;0;[agree_agent crit_agent neuro_agent agree_agent know_agent f g h i j];true
6;5;8;14;0.21400000000000002;0.371;0.28500000000000003;[neuro_agent neuro_agent crit_agent crit_agent crit_agent f g h i j];true
5;5;8;11;0.143;0.11439999999999996;-0.357;[agree_agent know_agent crit_agent neuro_agent know_agent f g h i j];true
4;5;8;14;-0.071;0.17220000000000002;-0.142;[crit_agent crit_agent know_agent agree_agent talk_agent f g h i j];true
7;5;8;18;0.357;0.47119999999999995;0.214;[neuro_agent know_agent talk_agent crit_agent agree_agent f g h i j];true
8;5;8;10;-0.5;-0.11399999999999999;-0.571;[neuro_agent know_agent agree_agent talk_agent talk_agent f g h i j];true
9;5;8;21;0.929;12.292;1.072;[crit_agent crit_agent crit_agent neuro_agent neuro_agent f g h i j];true
10;5;8;15;-0.357;-0.028600000000000014;-0.143;[neuro_agent talk_agent agree_agent talk_agent agree_agent f g h i j];true
12;5;8;11;-0.21400000000000002;0.11459999999999998;-2,78E-01;[talk_agent neuro_agent neuro_agent talk_agent talk_agent f g h i j];true
11;5;8;14;0.143;0.2004;-0.42799999999999994;[know_agent agree_agent talk_agent know_agent crit_agent f g h i j];true
14;5;8;12;-0.286;0.028400000000000036;0;[talk_agent talk_agent agree_agent agree_agent neuro_agent f g h i j];true
13;5;8;14;0.357;0.5282;0.428;[agree_agent agree_agent talk_agent neuro_agent neuro_agent f g h i j];true
15;5;8;19;0.5;0.5714;0.28600000000000003;[crit_agent know_agent crit_agent know_agent agree_agent f g h i j];true
16;5;8;19;0.571;0.7424;0.49999999999999994;[neuro_agent crit_agent talk_agent know_agent agree_agent f g h i j];true
17;5;8;21;0.357;0.49979999999999997;-0.14300000000000002;[talk_agent agree_agent crit_agent know_agent agree_agent f g h i j];true
18;5;8;10;-0.5;-0.4;-0.786;[know_agent crit_agent neuro_agent agree_agent know_agent f g h i j];true
19;5;8;23;0.643;0.9572;0.857;[talk_agent crit_agent neuro_agent neuro_agent agree_agent f g h i j];true
20;5;8;17;0.643;0.6002000000000001;0.35700000000000004;[know_agent crit_agent know_agent crit_agent neuro_agent f g h i j];true
22;5;8;16;0.143;0.35719999999999996;0.21399999999999997;[talk_agent neuro_agent talk_agent know_agent neuro_agent f g h i j];true
21;5;8;12;0;0.0998;-0.143;[talk_agent know_agent talk_agent agree_agent know_agent f g h i j];true
23;5;8;18;0.143;0.0858;-0.143;[know_agent know_agent crit_agent crit_agent know_agent f g h i j];true
24;5;8;39;1;1.243;0.929;[talk_agent crit_agent talk_agent know_agent neuro_agent f g h i j];true
25;5;8;20;0.429;0.5147999999999999;0.28600000000000003;[crit_agent crit_agent know_agent know_agent neuro_agent f g h i j];true
28;5;8;19;0.643;0.743;0.5;[know_agent talk_agent know_agent crit_agent crit_agent f g h i j];true
26;5;8;22;0.071;0.2708;0.142;[crit_agent neuro_agent talk_agent crit_agent know_agent f g h i j];true
27;5;8;15;1;1.2;1.071;[crit_agent crit_agent agree_agent crit_agent neuro_agent f g h i j];true
29;5;8;12;-0.21400000000000002;0.11459999999999998;-2,78E-01;[talk_agent neuro_agent know_agent crit_agent crit_agent f g h i j];true
30;5;8;14;0.21400000000000002;0.31400000000000006;-0.21499999999999997;[agree_agent crit_agent talk_agent neuro_agent know_agent f g h i j];true
31;5;8;11;0.357;0.5569999999999999;0.286;[crit_agent neuro_agent crit_agent know_agent agree_agent f g h i j];true
33;5;8;19;-0.071;0.1004;-0.071;[know_agent talk_agent know_agent crit_agent talk_agent f g h i j];true
32;5;8;21;0.5;0.7572;0.643;[crit_agent neuro_agent crit_agent agree_agent agree_agent f g h i j];true
35;5;8;16;0.786;0.9288000000000001;0.643;[crit_agent talk_agent talk_agent crit_agent know_agent f g h i j];true
34;5;8;11;0;0.2;0.143;[talk_agent talk_agent talk_agent neuro_agent agree_agent f g h i j];true
36;5;8;14;0.071;0.2424;0.071;[know_agent talk_agent neuro_agent agree_agent agree_agent f g h i j];true
